TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
MILS3;9,56;5,68;7,86;1,55;0,58;62,06;32,25;18,08;4,41;6,58;2,17;0,76;1,42;2,78;-0,93;2,23;19,67;7,36;12,18;0,37;0,63;0,41;29,09;;5.823.061,82;6,18;1,22;3,14;2.243.427.223,06
MLAS3;1,27;;-3,24;0,36;0,20;23,20;-0,61;-9,48;-50,82;-46,50;4,72;-0,03;0,31;0,50;-0,63;2,31;-11,11;-6,05;-2,48;0,54;0,46;0,64;12,16;;1.481.511,00;3,52;-0,39;0,05;1.050.290.208,00
MOVI3;5,40;2,86;8,42;0,78;0,06;29,79;19,43;1,72;0,74;6,93;6,18;6,50;0,14;-0,85;-0,08;0,75;9,29;0,76;11,06;0,08;0,92;0,44;28,58;0,32;28.231.480,82;6,88;0,64;-0,06;1.960.054.285,26
MRFG3;18,58;15,09;5,74;0,81;0,12;13,23;3,99;1,88;2,70;9,97;7,28;2,17;0,11;1,34;-0,19;1,28;14,02;2,03;4,13;0,14;0,86;1,08;25,01;66,56;109.556.258,55;23,24;3,26;-0,02;15.983.200.856,97
MRVE3;5,15;;-5,77;0,39;0,10;26,37;4,81;-5,59;6,70;28,30;21,60;1,25;0,32;0,52;-0,18;1,68;-6,74;-1,71;1,65;0,25;0,75;0,31;8,27;;46.048.033,32;13,27;-0,89;0,00;2.904.185.622,36
MTRE3;3,60;12,00;7,74;0,37;0,17;23,82;7,26;4,17;4,45;8,99;4,55;0,37;0,32;0,40;-0,77;2,27;4,72;2,24;3,57;0,47;0,53;0,54;30,48;9,01;1.895.747,32;9,85;0,47;-0,17;379.731.603,80
MULT3;22,74;5,53;8,70;2,07;0,93;83,36;67,18;52,69;6,83;9,30;2,48;0,75;4,59;17,74;-1,13;1,43;23,75;10,72;13,84;0,45;0,55;0,20;14,28;23,27;95.315.998,45;11,00;2,61;0,28;11.659.079.286,72
MYPK3;12,08;5,89;7,02;0,37;0,12;11,88;6,66;1,73;1,82;5,66;3,84;0,77;0,12;0,60;-0,22;1,72;5,22;1,66;7,12;0,32;0,68;0,96;8,89;-4,74;12.910.871,50;32,99;1,72;0,01;1.849.246.800,03
NEOE3;20,62;3,27;6,89;0,76;0,23;26,73;19,80;7,42;2,58;7,20;4,62;1,37;0,51;5,66;-0,30;1,22;11,10;3,32;10,16;0,30;0,70;0,45;11,47;10,27;20.362.592,68;26,98;2,99;-0,37;25.101.327.088,64
NGRD3;20,35;0,66;-15,53;0,43;0,30;61,03;-3,26;-4,42;-21,10;-5,65;15,45;-0,31;0,69;1,42;-0,47;2,29;-2,75;-1,90;-4,67;0,69;0,31;0,43;8,67;;583.210,82;47,88;-1,31;0,07;186.658.076,48
NTCO3;9,08;0,36;-1,42;0,81;0,34;65,24;3,77;-37,07;13,98;16,70;2,63;0,15;0,53;2,30;-0,58;1,58;-56,98;-24,05;-0,22;0,42;0,58;0,65;10,77;;242.013.456,00;11,27;-6,42;0,00;12.779.753.274,45
ODPV3;10,49;13,83;10,62;4,66;2,70;34,33;30,13;23,64;8,33;7,83;-0,54;-0,30;2,51;-20,85;-3,51;0,64;43,90;25,41;37,70;0,58;0,42;1,07;4,75;13,62;11.013.408,95;2,25;0,99;1,95;5.752.998.514,44
OIBR3;0,98;;0,03;-0,02;0,02;-45,74;-61,51;302,19;-0,17;-5,39;-5,21;;0,10;-11,11;-0,03;1,00;-59,01;48,64;45,57;-0,82;1,82;0,16;-30,86;;2.762.345,32;-49,34;29,11;0,00;337.798.333,74
ONCO3;5,58;;-5,64;1,08;0,33;33,09;-1,93;-10,38;-30,37;-60,63;-29,93;1,06;0,59;1,65;-0,56;1,90;-19,10;-5,77;-2,04;0,30;0,70;0,56;;;18.817.225,27;5,19;-0,99;0,01;3.682.423.168,45
OPCT3;5,79;;-74,23;1,16;0,38;26,84;16,24;-0,91;4,14;8,35;4,17;1,17;0,67;2,56;-0,57;1,82;-1,57;-0,51;9,37;0,33;0,67;0,57;31,17;;1.431.511,68;4,97;-0,08;0,61;1.167.763.795,36
ORVR3;41,95;;21,75;4,44;1,05;43,87;36,19;18,34;11,03;14,95;3,88;1,56;3,99;6,24;-1,57;2,00;20,40;4,81;10,69;0,24;0,74;0,26;21,27;131,73;13.566.640,05;9,45;1,93;-0,10;3.492.232.426,90
PCAR3;3,66;;-0,76;0,62;0,09;27,53;-2,32;-12,81;-4,18;-7,38;-3,21;0,48;0,10;-7,60;-0,13;0,96;-82,01;-12,22;-6,42;0,15;0,85;0,95;-19,80;;18.049.802,41;5,99;-4,91;-0,13;1.818.962.718,37
PDGR3;1,07;;0,01;0,00;0,03;-9,46;-511,59;1.116,06;-0,03;-0,38;-0,35;;0,13;-0,02;-0,07;0,32;-39,48;236,77;20,76;-6,00;7,14;0,21;-15,54;;1.709.453,05;-232,48;91,77;0,00;15.621.810,40
PETR3;40,92;19,18;14,41;1,44;0,47;50,21;27,95;7,46;3,85;6,08;2,38;0,89;1,07;-8,85;-0,53;0,69;9,96;3,25;16,12;0,33;0,67;0,44;10,18;-1,82;340.919.630,41;28,51;2,84;-0,20;506.982.564.408,87
PETR4;37,15;21,36;13,07;1,30;0,43;50,21;27,95;7,46;3,49;6,08;2,38;0,89;0,98;-8,03;-0,48;0,69;9,96;3,25;16,12;0,33;0,67;0,44;10,18;-1,82;999.836.078,68;28,51;2,84;-0,19;506.982.564.408,87
PETZ3;4,08;7,12;-44,27;1,14;0,49;46,93;1,90;-1,29;30,05;31,70;1,73;0,07;0,57;3,42;-0,75;1,67;-2,57;-1,10;1,03;0,43;0,57;0,85;27,50;;22.687.855,77;3,59;-0,09;0,12;1.887.978.894,00
PFRM3;6,71;8,68;7,26;0,52;0,15;15,00;2,95;1,13;2,78;4,70;1,90;0,36;0,08;0,81;-0,52;1,34;7,23;2,04;12,35;0,28;0,72;1,81;16,16;57,09;1.448.501,77;12,81;0,93;0,12;838.212.473,21
PGMN3;3,40;7,40;20,66;0,78;0,24;31,85;4,54;0,82;3,71;5,89;2,21;0,47;0,17;1,73;-0,49;1,36;3,79;1,15;11,44;0,30;0,70;1,41;14,51;;5.613.877,27;4,37;0,17;0,00;2.117.087.302,40
PINE4;4,35;11,23;9,40;858,82;40,20;2,75;14,36;10,40;6,81;6,90;;;0,98;;-41,89;;9.133,23;427,53;;0,05;0,95;41,12;21,90;;527.332,77;0,01;0,47;-0,39;1.020.635.091,00
PLPL3;11,80;8,53;6,99;2,63;0,93;33,07;17,29;13,28;5,37;4,90;-0,48;-0,23;0,93;1,50;-6,17;3,69;37,55;13,32;26,05;0,35;0,65;1,00;29,22;27,45;12.337.772,14;4,49;1,69;0,25;2.406.031.800,00
PMAM3;1,25;;-0,04;-0,01;0,06;-35,57;-95,53;-464,99;-0,21;-11,99;-11,78;;0,20;-0,02;-0,07;0,06;-34,02;-131,44;42,48;-3,86;4,86;0,28;-38,50;;335.877,14;-83,34;-28,35;0,00;93.526.172,92
PNVL3;8,85;4,79;12,57;1,07;0,39;31,79;3,95;2,13;6,79;12,00;5,24;0,83;0,27;1,60;-0,97;1,70;8,55;3,12;7,62;0,37;0,63;1,46;12,65;6,57;1.694.347,82;8,21;0,70;0,93;1.320.314.283,18
POMO3;4,87;12,12;4,61;1,36;0,59;24,80;16,96;13,96;3,80;5,29;0,79;0,28;0,64;2,14;-1,46;1,84;29,40;12,71;16,48;0,43;0,57;0,91;14,78;42,90;2.267.765,36;3,59;1,06;0,10;6.551.426.603,67
POMO4;6,24;9,46;5,91;1,74;0,75;24,80;16,96;13,96;4,86;5,29;0,79;0,28;0,83;2,75;-1,88;1,84;29,40;12,71;16,48;0,43;0,57;0,91;14,78;42,90;105.669.331,09;3,59;1,06;0,13;6.551.426.603,67
PORT3;17,06;7,13;15,54;2,64;1,12;47,31;32,12;16,57;8,01;10,47;2,47;0,81;2,57;36,04;-1,37;1,21;17,01;7,23;11,36;0,42;0,58;0,44;12,80;33,18;14.090.843,86;6,46;1,10;0,73;7.523.082.974,00
POSI3;5,11;8,11;9,10;0,44;0,16;25,05;8,39;2,18;2,36;4,68;2,31;0,43;0,20;0,50;-0,49;1,97;4,88;1,80;9,98;0,37;0,63;0,83;14,00;37,32;4.332.557,82;11,61;0,57;-0,14;731.688.000,00
PRIO3;39,74;;3,46;1,37;0,64;50,66;48,36;71,73;5,13;7,79;2,66;0,71;2,48;8,35;-0,75;2,16;39,74;18,48;6,21;0,47;0,53;0,26;54,25;74,54;287.976.840,77;28,92;11,49;0,03;35.665.614.223,67
PRNR3;17,18;;79,08;2,26;0,65;22,40;8,16;0,92;8,93;11,67;2,72;0,69;0,73;12,75;-1,30;1,12;2,86;0,83;9,46;0,29;0,71;0,90;25,85;;5.552.523,77;7,59;0,22;-3,05;804.064.227,97
