TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
SLCE3;19,02;4,38;14,24;2,05;0,48;29,57;19,39;7,57;5,56;7,94;2,39;0,88;1,08;3,74;-0,92;1,37;14,38;3,36;15,26;0,23;0,77;0,44;20,74;13,64;53.474.417,50;9,26;1,33;-0,42;8.401.098.118,20
SMFT3;20,79;2,85;28,46;2,27;0,68;41,45;22,64;7,82;9,83;12,20;2,35;0,54;2,23;9,41;-0,87;1,47;7,98;2,38;10,61;0,30;0,70;0,30;22,98;;55.706.479,27;9,16;0,73;-0,49;12.446.691.104,52
SMTO3;21,26;6,34;6,55;1,03;0,35;23,59;29,54;13,75;3,05;5,77;2,70;0,91;0,90;2,09;-0,50;2,18;15,72;5,30;12,90;0,34;0,66;0,39;15,45;28,00;26.635.188,64;20,64;3,25;0,84;7.104.144.305,67
SOJA3;10,34;2,90;14,87;0,71;0,52;12,15;7,88;5,08;9,58;8,44;-1,12;-0,08;0,75;1,05;-1,51;4,06;4,78;3,50;5,50;0,73;0,27;0,69;35,41;28,51;5.868.978,41;14,44;0,69;-0,20;1.388.405.197,44
SOMA3;5,95;;2,96;0,80;0,49;56,80;-46,46;29,33;-1,87;-2,32;-0,45;0,19;0,87;2,01;-0,84;2,36;27,15;16,44;-46,41;0,61;0,39;0,56;37,72;80,87;49.858.264,50;7,40;2,01;0,01;4.669.246.869,35
SRNA3;7,84;;16,44;0,86;0,24;33,59;37,56;7,21;3,16;10,06;6,89;1,87;1,19;-205,36;-0,28;0,99;5,22;1,48;7,35;0,28;0,72;0,20;;;22.133.369,27;9,15;0,48;0,04;4.907.116.781,28
STBP3;13,30;6,47;15,48;17,37;2,07;54,68;41,59;25,56;9,51;11,17;1,65;3,02;3,96;63,48;-2,62;1,18;112,19;13,39;26,80;0,12;0,88;0,52;24,45;117,13;54.474.772,36;0,77;0,86;0,33;11.484.824.204,01
SULA11;22,25;;52,23;1,13;0,31;4,25;-3,34;0,83;-12,92;6,54;19,47;-1,71;0,43;0,85;-0,91;2,29;2,17;0,60;-8,72;0,28;0,72;0,73;4,58;-23,56;142.281.860,45;19,64;0,43;-0,94;9.475.042.424,17
SUZB3;53,37;3,78;-9,53;2,08;0,41;42,19;33,10;-14,92;4,30;9,36;5,06;2,45;1,42;3,81;-0,54;1,72;-21,82;-4,26;7,19;0,20;0,80;0,29;12,75;;269.037.722,45;25,64;-5,60;0,06;67.377.468.879,50
SYNE3;5,00;57,77;1,39;0,41;0,24;42,22;61,47;40,23;0,91;1,41;0,49;0,22;0,56;0,82;-0,38;5,21;29,67;17,35;25,46;0,58;0,42;0,43;23,59;75,50;1.891.471,95;12,06;3,58;0,00;761.695.780,55
TAEE11;33,93;8,46;6,90;1,68;0,57;66,49;77,01;45,56;4,08;7,25;3,16;1,30;3,14;20,88;-0,67;1,23;24,41;8,29;16,10;0,34;0,66;0,18;15,68;11,08;48.913.125,45;20,14;4,92;1,54;11.709.517.848,93
TAEE3;11,28;8,50;6,87;1,68;0,57;66,49;77,01;45,56;4,06;7,25;3,16;1,30;3,13;20,78;-0,67;1,23;24,41;8,29;16,10;0,34;0,66;0,18;15,68;11,08;715.866,68;6,71;1,64;1,53;11.709.517.848,93
TAEE4;11,33;8,45;6,91;1,69;0,57;66,49;77,01;45,56;4,09;7,25;3,16;1,30;3,15;20,91;-0,67;1,23;24,41;8,29;16,10;0,34;0,66;0,18;15,68;11,08;1.503.699,82;6,71;1,64;1,54;11.709.517.848,93
TASA4;8,49;3,57;14,04;0,83;0,41;34,82;12,49;4,58;5,15;7,33;2,19;0,35;0,64;2,01;-1,00;1,53;5,92;2,91;10,12;0,49;0,51;0,64;10,85;12,02;1.511.265,23;10,22;0,60;-0,28;1.073.185.124,20
TECN3;5,85;4,08;5,72;0,90;0,51;54,67;16,68;16,20;5,55;5,36;-0,19;-0,03;0,93;1,14;-1,62;2,90;15,80;8,95;8,97;0,57;0,43;0,55;4,83;;467.730,50;6,48;1,02;0,37;370.633.857,75
TEND3;14,25;1,19;16,46;1,83;0,33;27,14;8,99;3,24;5,94;7,16;1,23;0,38;0,53;1,40;-0,81;1,64;11,13;1,99;12,52;0,18;0,82;0,61;10,99;-16,59;33.354.629,59;7,80;0,87;-0,05;1.750.416.010,56
TFCO4;10,96;2,15;87,67;21,83;12,51;56,58;19,74;14,16;62,87;11,01;0,78;0,27;12,41;28,99;-40,22;2,68;24,90;14,27;21,55;0,57;0,43;1,01;30,70;38,10;3.985.062,45;0,50;0,12;30,00;1.680.801.476,46
TGMA3;34,32;7,86;8,43;2,47;1,71;21,58;17,64;12,91;6,17;6,00;-0,17;-0,07;1,09;5,06;-3,69;2,71;29,28;20,30;23,84;0,69;0,31;1,57;9,18;6,82;9.199.606,50;13,96;4,09;0,17;2.275.780.509,20
TIMS3;18,01;7,46;32,38;1,92;0,77;53,26;21,63;5,29;7,92;6,84;-1,09;-0,26;1,71;-63,13;-1,00;0,95;5,93;2,37;21,91;0,40;0,60;0,45;7,93;-17,96;112.048.006,23;9,37;0,56;-0,95;43.622.895.251,96
TOTS3;34,03;1,73;28,45;4,09;2,39;69,48;16,79;13,73;23,27;22,97;-0,32;-0,06;3,91;12,61;-3,54;2,42;14,39;8,41;11,82;0,58;0,42;0,61;18,01;27,88;121.852.880,27;8,32;1,20;-12,08;20.427.605.880,48
TRIS3;6,36;3,12;6,90;0,80;0,39;27,83;14,87;12,74;5,91;7,64;1,76;0,24;0,88;0,66;-1,52;4,74;11,53;5,64;7,17;0,49;0,51;0,44;11,01;4,14;3.056.229,45;7,97;0,92;0,18;1.179.422.840,16
TTEN3;14,10;1,35;9,26;1,74;0,79;19,74;9,71;5,91;5,64;5,86;0,24;0,07;0,55;3,33;-2,26;1,58;18,75;8,53;16,37;0,46;0,54;1,44;41,95;44,40;13.341.395,36;8,12;1,52;0,29;7.001.081.940,35
TUPY3;17,84;8,66;32,37;0,74;0,22;18,06;5,25;0,75;4,60;8,89;4,28;0,68;0,24;0,63;-0,64;2,20;2,27;0,69;4,63;0,30;0,70;0,93;15,61;-22,20;13.915.437,64;24,27;0,55;-0,38;2.579.335.475,00
UGPA3;17,44;4,01;8,24;1,23;0,49;7,26;3,70;1,77;3,94;6,20;2,26;0,71;0,15;3,50;-0,83;1,53;14,93;5,97;10,94;0,40;0,60;3,37;8,37;44,62;105.223.492,14;14,19;2,12;-2,61;19.465.600.325,90
UNIP3;51,79;8,84;10,55;2,08;0,82;27,11;11,51;10,23;9,38;11,17;1,17;0,26;1,08;3,06;-1,40;2,88;19,74;7,81;7,76;0,40;0,60;0,76;12,24;26,21;442.283,00;24,86;4,91;-0,36;6.250.999.655,99
UNIP6;57,10;8,81;11,64;2,30;0,91;27,11;11,51;10,23;10,35;11,17;1,17;0,26;1,19;3,38;-1,55;2,88;19,74;7,81;7,76;0,40;0,60;0,76;12,24;26,21;13.582.075,55;24,86;4,91;-0,40;6.250.999.655,99
USIM3;5,81;4,42;-49,97;0,27;0,18;6,42;1,93;-0,56;14,60;16,23;1,63;0,03;0,28;0,58;-0,33;3,64;-0,55;-0,37;1,20;0,67;0,33;0,65;11,59;;1.052.402,55;21,29;-0,12;0,45;7.292.920.408,56
USIM5;5,82;4,86;-49,97;0,27;0,18;6,42;1,93;-0,56;14,60;16,23;1,63;0,03;0,28;0,58;-0,33;3,64;-0,55;-0,37;1,20;0,67;0,33;0,65;11,59;;54.295.752,41;21,29;-0,12;0,45;7.292.920.408,56
VALE3;56,71;8,39;8,15;1,20;0,52;36,25;26,92;15,34;4,64;5,83;1,17;0,30;1,25;106,34;-0,62;1,03;14,78;6,37;16,68;0,43;0,57;0,42;7,33;;1.102.017.336,32;47,09;6,96;-0,39;258.178.751.150,40
VAMO3;4,63;5,78;13,17;2,05;0,25;63,95;54,54;8,11;1,96;6,52;4,57;4,79;1,07;3,54;-0,31;1,52;15,60;1,88;13,85;0,12;0,88;0,23;31,14;21,86;51.059.583,68;2,26;0,35;-0,38;4.994.370.320,94
VBBR3;18,25;10,30;3,21;1,00;0,42;4,78;5,09;3,70;2,33;3,51;1,18;0,51;0,12;1,18;-0,88;3,04;31,23;12,99;16,02;0,42;0,58;3,52;12,65;23,56;161.348.898,41;18,22;5,69;0,10;20.455.320.000,00
VITT3;5,42;3,49;10,77;1,28;0,85;33,79;11,22;9,60;9,22;11,19;1,98;0,27;1,03;2,20;-2,24;2,67;11,90;7,92;8,13;0,67;0,33;0,83;12,74;6,64;1.004.139,64;4,22;0,50;-0,48;813.198.837,38
VIVA3;19,90;1,87;7,20;1,88;1,10;70,23;26,53;25,35;6,88;7,06;0,17;0,05;1,82;2,63;-3,15;2,79;26,17;15,29;22,67;0,58;0,42;0,60;28,01;20,43;100.628.757,18;10,57;2,77;0,09;4.712.145.491,55
VIVT3;51,76;3,77;15,19;1,21;0,67;43,86;15,53;9,93;9,71;11,34;1,62;0,20;1,51;-58,36;-0,83;0,94;7,95;4,44;8,25;0,56;0,44;0,45;4,76;2,10;117.566.604,86;42,80;3,40;1,47;84.304.279.083,20
VLID3;24,48;13,70;5,26;1,10;0,68;35,79;22,02;17,54;4,19;4,16;-0,03;-0,01;0,92;1,98;-1,44;2,88;20,91;12,94;17,43;0,62;0,38;0,74;1,58;47,65;12.331.131,59;22,27;4,65;0,07;2.007.446.278,75
VTRU3;7,03;;;;;;;;;;;;;;;;;;;;;;;;2.223.196,86;;0,00;;13.392.721.163,64
VULC3;15,88;8,04;7,67;2,07;1,46;41,93;19,04;18,69;7,53;7,56;0,05;0,01;1,43;3,00;-5,05;3,18;27,00;19,04;22,36;0,71;0,29;1,02;17,52;31,84;11.173.248,32;7,66;2,07;0,51;4.361.738.742,52
VVEO3;1,39;9,89;-0,31;0,23;0,05;11,27;-7,45;-12,22;-0,52;-3,70;-3,18;1,42;0,04;0,18;-0,10;1,85;-73,47;-14,83;-17,92;0,20;0,80;1,21;30,99;;1.943.127,05;5,97;-4,38;0,00;448.720.645,12
WEGE3;45,04;1,74;31,29;8,18;4,56;33,73;20,25;15,91;24,59;24,06;-0,57;-0,19;4,98;16,07;-13,25;1,76;26,13;14,56;22,83;0,56;0,44;0,92;23,27;30,21;290.300.520,36;5,51;1,44;5,77;189.466.934.429,72
WIZC3;5,96;4,13;5,95;0,82;0,39;62,78;43,92;12,73;1,73;1,87;0,14;0,07;0,76;-3,95;-0,48;0,66;13,83;6,55;25,41;0,47;0,53;0,51;13,02;-5,63;2.416.283,82;7,24;1,00;0,45;954.646.473,54
YDUQ3;12,16;2,25;9,76;1,06;0,34;61,01;17,14;6,38;3,63;8,60;4,97;1,45;0,62;3,08;-0,45;1,75;10,88;3,43;10,05;0,32;0,68;0,54;8,46;-11,98;56.583.803,68;11,45;1,25;0,08;3.330.179.539,65
ZAMP3;3,15;;-6,72;0,83;0,27;64,93;-0,78;-4,20;-36,09;-51,54;-15,45;0,36;0,28;7,41;-0,38;1,15;-12,37;-4,09;-1,86;0,33;0,67;0,97;9,70;;3.193.902,45;3,80;-0,47;-0,07;1.285.912.688,20
